"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/3/23 4:16 PM,"ASAP Natin ‘To","146299154",,"-1","en","<a href='https://studio.twitter.com' rel='nofollow'>Twitter Media Studio</a>","Acoustic Collab with OPM icons OPM King Ogie Alcasid and Asia’s Songbird Ms. Regine Velasquez-Alcasid with Janine, Anji, Angela, Jeremy, and Kice!
?: LIVE · SUNDAY · 12NN 
See you, ASAP Homies! https://t.co/jDJMg7pWn1",,,185.0,"1664908930684952576"
6/3/23 4:58 AM,"Sara A. Carter","25202268",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","But even this isn’t enough to get Americans to wake up - 

The #CCP is well aware of how easy it is to manipulate the public and access Americans data - 

wasn’t it the Chinese that hacked into OPM and stole 20 million plus top secret applications… https://t.co/Pgd4RN4tC7",,,62.0,"1664738157391118343"
6/2/23 2:30 PM,"GMA Integrated News","39453212",,"-1","en","<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>","Top OPM stars have come together for a compilation album of Christian Bautista's top hits.

https://t.co/YgVCFcdeCI",,,23.0,"1664519715849396226"
6/10/23 11:31 PM,"ShanM ????love SB19 ?????(IA ULI)","1279581505350586368",,"-1","tl","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @stellintokeun: STREAM! STREAM! STREAM MGA MIMA! DIBA MAY GOALS TAYO? GUSTO KO MAG TOP 1 OPM & BG ARTIST SB19 SA SPOTIFY!!  

@SB19Offic…",,,3.0,"1667555077853433856"
6/10/23 11:31 PM,"jahrlenessa??","1503005546450145281",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @pen_pearl: I think it’s time to educate Pinoy entertainment industry about music royalties. Hosts’ comments show their lack of knowledg…",,,77.0,"1667555071016701953"
6/10/23 11:30 PM,"Nej ? ??","1298250330019205124",,"-1","tl","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @KAIAmananSTAN: Shout out nalang ba bayad sa art? Edi ilubog nalang natin yung buong OPM industry. Ikabit nalang natin sa malalaking com…",,,45.0,"1667554929261809665"
6/10/23 11:30 PM,"NOT KIEL. ?","1289734043559276544",,"-1","tl","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @iadoreyoufelip: if genuine talaga ang showtime for giving free promo sa mga opm artist, why not gamitin nila mga underrated artist. SOB…",,,1.0,"1667554902338596864"
6/10/23 11:30 PM,"Leybkr","1311281932114767872","KoWaretaRingo","1369297357028925454","fr","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","@KoWaretaRingo Perso j’ai grave aimé la S2 de OPM, certe elle est très mauvaise fasse a la S1 incroyable du au staff et au studio mais la S2 est plus que bien",,,0.0,"1667554882046369796"
6/10/23 11:30 PM,"Iracebeth ??","2334664572",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @pen_pearl: I think it’s time to educate Pinoy entertainment industry about music royalties. Hosts’ comments show their lack of knowledg…",,,77.0,"1667554878728847361"
6/10/23 11:30 PM,"Ferds ??","1175092019066097664",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @bianca_cavino17: RESPECT LOCAL ARTISTS

That's the tweet.

When it comes to OPM artists' rights I will fight for it. This is afterall f…",,,42.0,"1667554812110716935"
6/10/23 11:30 PM,"??????_ni_????? ???","1386643789603688449",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @kokur00: 'SUPPORT OPM' MEANS SUPPORTING FILIPINO ARTISTS AND THEIR RIGHTS.",,,15.0,"1667554801947918337"
6/10/23 11:30 PM,"Azul_Brilyante1??","1515065728646324226",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @pen_pearl: I think it’s time to educate Pinoy entertainment industry about music royalties. Hosts’ comments show their lack of knowledg…",,,77.0,"1667554767604948994"
6/10/23 11:29 PM,"Blanda ??","1232012875297783808",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @bianca_cavino17: RESPECT LOCAL ARTISTS

That's the tweet.

When it comes to OPM artists' rights I will fight for it. This is afterall f…",,,42.0,"1667554699052982272"
6/10/23 11:29 PM,"PrinseCza?? ??¹?? ? TB?-¹²?","1391932179094016001",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","RT @pen_pearl: I think it’s time to educate Pinoy entertainment industry about music royalties. Hosts’ comments show their lack of knowledg…",,,77.0,"1667554680984010752"
6/10/23 11:29 PM,"Camellia sinensis ????¹³| SEKEN ??","1342816689918865408",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","I don’t know why am I crying after seeing tweets about fighting for the rights of OPM artists. It’s time to break the cycle.",,,0.0,"1667554665196822529"
6/10/23 11:29 PM,"A'lyn | ?? @US_ATIN ??????? | SV???","1569297041607598082",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @chartdataPH: Spotify PH Daily Top OPM Groups (June 9)

#1 @BenAndBenMusic *597th day*
#2 @SB19Official [+1]
#3 @dilawband [-1]
#4 @dece…",,,1345.0,"1667554650294472704"
6/10/23 11:29 PM,"LeyM ??","1120584570011709440",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @MonsterVoter19: We are always and forever PROUD of you Boys!!! SB19 truly -BREAKING THE NORMS of the Philippine Music Industry !

Nagsi…",,,26.0,"1667554622486237184"
6/10/23 11:29 PM,"Liriqos","1603662651757719552",,"-1","tl","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @smtnrdt: Gento kasi yun, kung hindi alam ang music rights and royalties, manahimik nalang sana

kaya hindi umuunlad ang opm eh dahil ma…",,,6.0,"1667554608535982086"
